2021-11-05 15:07:55.701553: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.10.1
[2021-11-05 15:07:56] WARNING (nni/MainThread) Requesting parameter without NNI framework, returning empty dict
{'batch_size': 64, 'test_batch_size': 1000, 'epochs': 14, 'lr': 1.0, 'gamma': 0.7, 'no_cuda': False, 'seed': 1, 'log_interval': 10, 'save_model': True}
Start profiling...
----------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
----------------------  ------------  ------------  ------------  ------------  ------------  ------------  
          aten::select         5.17%      25.244us         6.65%      32.422us      32.422us             1  
      aten::as_strided         1.47%       7.178us         1.47%       7.178us       7.178us             1  
         aten::reshape         1.80%       8.771us         6.34%      30.907us      30.907us             1  
            aten::view         4.54%      22.136us         4.54%      22.136us      22.136us             1  
            aten::view         0.43%       2.080us         0.43%       2.080us       2.080us             1  
               aten::t         5.80%      28.299us         7.02%      34.244us      34.244us             1  
       aten::transpose         0.70%       3.415us         1.22%       5.945us       5.945us             1  
      aten::as_strided         0.52%       2.530us         0.52%       2.530us       2.530us             1  
           aten::addmm        31.87%     155.491us        38.76%     189.098us     189.098us             1  
           aten::empty         1.49%       7.289us         1.49%       7.289us       7.289us             1  
          aten::expand         0.56%       2.730us         4.37%      21.319us      21.319us             1  
      aten::as_strided         3.81%      18.589us         3.81%      18.589us      18.589us             1  
         aten::resize_         0.89%       4.338us         0.89%       4.338us       4.338us             1  
          aten::stride         0.07%       0.335us         0.07%       0.335us       0.335us             1  
          aten::stride         0.03%       0.162us         0.03%       0.162us       0.162us             1  
          aten::stride         0.03%       0.164us         0.03%       0.164us       0.164us             1  
      aten::leaky_relu         5.70%      27.816us         7.58%      36.991us      36.991us             1  
           aten::empty         1.88%       9.175us         1.88%       9.175us       9.175us             1  
               aten::t         2.47%      12.057us         3.23%      15.776us      15.776us             1  
       aten::transpose         0.57%       2.797us         0.76%       3.719us       3.719us             1  
      aten::as_strided         0.19%       0.922us         0.19%       0.922us       0.922us             1  
           aten::addmm         7.92%      38.625us         9.42%      45.935us      45.935us             1  
           aten::empty         0.21%       1.004us         0.21%       1.004us       1.004us             1  
          aten::expand         0.30%       1.453us         0.69%       3.369us       3.369us             1  
      aten::as_strided         0.39%       1.916us         0.39%       1.916us       1.916us             1  
         aten::resize_         0.45%       2.201us         0.45%       2.201us       2.201us             1  
          aten::stride         0.06%       0.293us         0.06%       0.293us       0.293us             1  
          aten::stride         0.05%       0.225us         0.05%       0.225us       0.225us             1  
          aten::stride         0.04%       0.218us         0.04%       0.218us       0.218us             1  
      aten::leaky_relu         2.59%      12.614us         2.94%      14.325us      14.325us             1  
           aten::empty         0.35%       1.711us         0.35%       1.711us       1.711us             1  
               aten::t         2.32%      11.312us         3.17%      15.479us      15.479us             1  
       aten::transpose         0.28%       1.342us         0.85%       4.167us       4.167us             1  
      aten::as_strided         0.58%       2.825us         0.58%       2.825us       2.825us             1  
           aten::addmm         5.83%      28.455us         7.14%      34.837us      34.837us             1  
           aten::empty         0.23%       1.128us         0.23%       1.128us       1.128us             1  
          aten::expand         0.24%       1.178us         0.34%       1.664us       1.664us             1  
      aten::as_strided         0.10%       0.486us         0.10%       0.486us       0.486us             1  
         aten::resize_         0.62%       3.047us         0.62%       3.047us       3.047us             1  
          aten::stride         0.04%       0.205us         0.04%       0.205us       0.205us             1  
          aten::stride         0.03%       0.155us         0.03%       0.155us       0.155us             1  
          aten::stride         0.04%       0.183us         0.04%       0.183us       0.183us             1  
     aten::log_softmax         1.11%       5.391us         7.33%      35.772us      35.772us             1  
    aten::_log_softmax         5.01%      24.436us         6.23%      30.381us      30.381us             1  
      aten::contiguous         0.25%       1.208us         0.25%       1.208us       1.208us             1  
      aten::empty_like         0.53%       2.579us         0.97%       4.737us       4.737us             1  
           aten::empty         0.44%       2.158us         0.44%       2.158us       2.158us             1  
----------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 487.866us

Finished profiling.
Train Epoch: 1 [0/60000 (0%)]	Loss: 2.326955
Train Epoch: 1 [640/60000 (1%)]	Loss: 1.458131
Train Epoch: 1 [1280/60000 (2%)]	Loss: 0.865070
Train Epoch: 1 [1920/60000 (3%)]	Loss: 0.626550
Train Epoch: 1 [2560/60000 (4%)]	Loss: 0.610408
Train Epoch: 1 [3200/60000 (5%)]	Loss: 0.696319
Train Epoch: 1 [3840/60000 (6%)]	Loss: 0.521436
Train Epoch: 1 [4480/60000 (7%)]	Loss: 0.241137
Train Epoch: 1 [5120/60000 (9%)]	Loss: 0.400855
Train Epoch: 1 [5760/60000 (10%)]	Loss: 0.394536
Train Epoch: 1 [6400/60000 (11%)]	Loss: 0.294146
Train Epoch: 1 [7040/60000 (12%)]	Loss: 0.406809
Train Epoch: 1 [7680/60000 (13%)]	Loss: 0.169691
Train Epoch: 1 [8320/60000 (14%)]	Loss: 0.312248
Train Epoch: 1 [8960/60000 (15%)]	Loss: 0.306507
Train Epoch: 1 [9600/60000 (16%)]	Loss: 0.221550
Train Epoch: 1 [10240/60000 (17%)]	Loss: 0.173832
Train Epoch: 1 [10880/60000 (18%)]	Loss: 0.115993
Train Epoch: 1 [11520/60000 (19%)]	Loss: 0.343755
Train Epoch: 1 [12160/60000 (20%)]	Loss: 0.284918
Train Epoch: 1 [12800/60000 (21%)]	Loss: 0.117788
Train Epoch: 1 [13440/60000 (22%)]	Loss: 0.318821
Train Epoch: 1 [14080/60000 (23%)]	Loss: 0.274372
Train Epoch: 1 [14720/60000 (25%)]	Loss: 0.083404
Train Epoch: 1 [15360/60000 (26%)]	Loss: 0.171039
Train Epoch: 1 [16000/60000 (27%)]	Loss: 0.224697
Train Epoch: 1 [16640/60000 (28%)]	Loss: 0.255376
Train Epoch: 1 [17280/60000 (29%)]	Loss: 0.552184
Train Epoch: 1 [17920/60000 (30%)]	Loss: 0.181111
Train Epoch: 1 [18560/60000 (31%)]	Loss: 0.124227
Train Epoch: 1 [19200/60000 (32%)]	Loss: 0.046646
Train Epoch: 1 [19840/60000 (33%)]	Loss: 0.163317
Train Epoch: 1 [20480/60000 (34%)]	Loss: 0.060950
Train Epoch: 1 [21120/60000 (35%)]	Loss: 0.286881
Train Epoch: 1 [21760/60000 (36%)]	Loss: 0.143279
Train Epoch: 1 [22400/60000 (37%)]	Loss: 0.067660
Train Epoch: 1 [23040/60000 (38%)]	Loss: 0.263703
Train Epoch: 1 [23680/60000 (39%)]	Loss: 0.056348
Train Epoch: 1 [24320/60000 (41%)]	Loss: 0.067621
Train Epoch: 1 [24960/60000 (42%)]	Loss: 0.185797
Train Epoch: 1 [25600/60000 (43%)]	Loss: 0.165286
Train Epoch: 1 [26240/60000 (44%)]	Loss: 0.113009
Train Epoch: 1 [26880/60000 (45%)]	Loss: 0.097453
Train Epoch: 1 [27520/60000 (46%)]	Loss: 0.058218
Train Epoch: 1 [28160/60000 (47%)]	Loss: 0.166741
Train Epoch: 1 [28800/60000 (48%)]	Loss: 0.042858
Train Epoch: 1 [29440/60000 (49%)]	Loss: 0.121792
Train Epoch: 1 [30080/60000 (50%)]	Loss: 0.092685
Train Epoch: 1 [30720/60000 (51%)]	Loss: 0.145531
Train Epoch: 1 [31360/60000 (52%)]	Loss: 0.250436
Train Epoch: 1 [32000/60000 (53%)]	Loss: 0.117280
Train Epoch: 1 [32640/60000 (54%)]	Loss: 0.076509
Train Epoch: 1 [33280/60000 (55%)]	Loss: 0.208229
Train Epoch: 1 [33920/60000 (57%)]	Loss: 0.110704
Train Epoch: 1 [34560/60000 (58%)]	Loss: 0.080603
Train Epoch: 1 [35200/60000 (59%)]	Loss: 0.086832
Train Epoch: 1 [35840/60000 (60%)]	Loss: 0.290429
Train Epoch: 1 [36480/60000 (61%)]	Loss: 0.137195
Train Epoch: 1 [37120/60000 (62%)]	Loss: 0.085872
Train Epoch: 1 [37760/60000 (63%)]	Loss: 0.023606
Train Epoch: 1 [38400/60000 (64%)]	Loss: 0.207993
Train Epoch: 1 [39040/60000 (65%)]	Loss: 0.233101
Train Epoch: 1 [39680/60000 (66%)]	Loss: 0.198126
Train Epoch: 1 [40320/60000 (67%)]	Loss: 0.127783
Train Epoch: 1 [40960/60000 (68%)]	Loss: 0.029519
Train Epoch: 1 [41600/60000 (69%)]	Loss: 0.145918
Train Epoch: 1 [42240/60000 (70%)]	Loss: 0.109078
Train Epoch: 1 [42880/60000 (71%)]	Loss: 0.074864
Train Epoch: 1 [43520/60000 (72%)]	Loss: 0.127970
Train Epoch: 1 [44160/60000 (74%)]	Loss: 0.012561
Train Epoch: 1 [44800/60000 (75%)]	Loss: 0.091223
Train Epoch: 1 [45440/60000 (76%)]	Loss: 0.156704
Train Epoch: 1 [46080/60000 (77%)]	Loss: 0.055730
Train Epoch: 1 [46720/60000 (78%)]	Loss: 0.303384
Train Epoch: 1 [47360/60000 (79%)]	Loss: 0.044828
Train Epoch: 1 [48000/60000 (80%)]	Loss: 0.048392
Train Epoch: 1 [48640/60000 (81%)]	Loss: 0.085800
Train Epoch: 1 [49280/60000 (82%)]	Loss: 0.325056
Train Epoch: 1 [49920/60000 (83%)]	Loss: 0.071485
Train Epoch: 1 [50560/60000 (84%)]	Loss: 0.198238
Train Epoch: 1 [51200/60000 (85%)]	Loss: 0.166773
Train Epoch: 1 [51840/60000 (86%)]	Loss: 0.091232
Train Epoch: 1 [52480/60000 (87%)]	Loss: 0.077848
Train Epoch: 1 [53120/60000 (88%)]	Loss: 0.103367
Train Epoch: 1 [53760/60000 (90%)]	Loss: 0.096857
Train Epoch: 1 [54400/60000 (91%)]	Loss: 0.236546
Train Epoch: 1 [55040/60000 (92%)]	Loss: 0.110148
Train Epoch: 1 [55680/60000 (93%)]	Loss: 0.119689
Train Epoch: 1 [56320/60000 (94%)]	Loss: 0.094456
Train Epoch: 1 [56960/60000 (95%)]	Loss: 0.061518
Train Epoch: 1 [57600/60000 (96%)]	Loss: 0.054794
Train Epoch: 1 [58240/60000 (97%)]	Loss: 0.071472
Train Epoch: 1 [58880/60000 (98%)]	Loss: 0.009000
Train Epoch: 1 [59520/60000 (99%)]	Loss: 0.037504

Test set: Average loss: 0.0001, Accuracy: 9570/10000 (96%)

[2021-11-05 15:08:08] INFO (nni/MainThread) Intermediate result: null  (Index 0)
Train Epoch: 2 [0/60000 (0%)]	Loss: 0.117246
Train Epoch: 2 [640/60000 (1%)]	Loss: 0.021727
Train Epoch: 2 [1280/60000 (2%)]	Loss: 0.147597
Train Epoch: 2 [1920/60000 (3%)]	Loss: 0.070829
Train Epoch: 2 [2560/60000 (4%)]	Loss: 0.027011
Train Epoch: 2 [3200/60000 (5%)]	Loss: 0.009210
Train Epoch: 2 [3840/60000 (6%)]	Loss: 0.101856
Train Epoch: 2 [4480/60000 (7%)]	Loss: 0.078583
Train Epoch: 2 [5120/60000 (9%)]	Loss: 0.317851
Train Epoch: 2 [5760/60000 (10%)]	Loss: 0.071572
Train Epoch: 2 [6400/60000 (11%)]	Loss: 0.047621
Train Epoch: 2 [7040/60000 (12%)]	Loss: 0.018993
Train Epoch: 2 [7680/60000 (13%)]	Loss: 0.059929
Train Epoch: 2 [8320/60000 (14%)]	Loss: 0.035035
Train Epoch: 2 [8960/60000 (15%)]	Loss: 0.077778
Train Epoch: 2 [9600/60000 (16%)]	Loss: 0.004682
Train Epoch: 2 [10240/60000 (17%)]	Loss: 0.034402
Train Epoch: 2 [10880/60000 (18%)]	Loss: 0.034957
Train Epoch: 2 [11520/60000 (19%)]	Loss: 0.107426
Train Epoch: 2 [12160/60000 (20%)]	Loss: 0.130353
Train Epoch: 2 [12800/60000 (21%)]	Loss: 0.017899
Train Epoch: 2 [13440/60000 (22%)]	Loss: 0.193614
Train Epoch: 2 [14080/60000 (23%)]	Loss: 0.027250
Train Epoch: 2 [14720/60000 (25%)]	Loss: 0.082472
Train Epoch: 2 [15360/60000 (26%)]	Loss: 0.081235
Train Epoch: 2 [16000/60000 (27%)]	Loss: 0.072414
Train Epoch: 2 [16640/60000 (28%)]	Loss: 0.228982
Train Epoch: 2 [17280/60000 (29%)]	Loss: 0.079905
Train Epoch: 2 [17920/60000 (30%)]	Loss: 0.048351
Train Epoch: 2 [18560/60000 (31%)]	Loss: 0.124719
Train Epoch: 2 [19200/60000 (32%)]	Loss: 0.118862
Train Epoch: 2 [19840/60000 (33%)]	Loss: 0.050524
Train Epoch: 2 [20480/60000 (34%)]	Loss: 0.020406
Train Epoch: 2 [21120/60000 (35%)]	Loss: 0.411848
Train Epoch: 2 [21760/60000 (36%)]	Loss: 0.143459
Train Epoch: 2 [22400/60000 (37%)]	Loss: 0.024571
Train Epoch: 2 [23040/60000 (38%)]	Loss: 0.151557
Train Epoch: 2 [23680/60000 (39%)]	Loss: 0.175214
Train Epoch: 2 [24320/60000 (41%)]	Loss: 0.015869
Train Epoch: 2 [24960/60000 (42%)]	Loss: 0.034475
Train Epoch: 2 [25600/60000 (43%)]	Loss: 0.019558
Train Epoch: 2 [26240/60000 (44%)]	Loss: 0.015958
Train Epoch: 2 [26880/60000 (45%)]	Loss: 0.034005
Train Epoch: 2 [27520/60000 (46%)]	Loss: 0.024266
Train Epoch: 2 [28160/60000 (47%)]	Loss: 0.012812
Train Epoch: 2 [28800/60000 (48%)]	Loss: 0.140347
Train Epoch: 2 [29440/60000 (49%)]	Loss: 0.009764
Train Epoch: 2 [30080/60000 (50%)]	Loss: 0.054190
Train Epoch: 2 [30720/60000 (51%)]	Loss: 0.066481
Train Epoch: 2 [31360/60000 (52%)]	Loss: 0.045217
Train Epoch: 2 [32000/60000 (53%)]	Loss: 0.078739
Train Epoch: 2 [32640/60000 (54%)]	Loss: 0.026245
Train Epoch: 2 [33280/60000 (55%)]	Loss: 0.134535
Train Epoch: 2 [33920/60000 (57%)]	Loss: 0.006718
Train Epoch: 2 [34560/60000 (58%)]	Loss: 0.009897
Train Epoch: 2 [35200/60000 (59%)]	Loss: 0.039593
Train Epoch: 2 [35840/60000 (60%)]	Loss: 0.104072
Train Epoch: 2 [36480/60000 (61%)]	Loss: 0.090619
Train Epoch: 2 [37120/60000 (62%)]	Loss: 0.045743
Train Epoch: 2 [37760/60000 (63%)]	Loss: 0.043847
Train Epoch: 2 [38400/60000 (64%)]	Loss: 0.049849
Train Epoch: 2 [39040/60000 (65%)]	Loss: 0.007188
Train Epoch: 2 [39680/60000 (66%)]	Loss: 0.003001
Train Epoch: 2 [40320/60000 (67%)]	Loss: 0.132881
Train Epoch: 2 [40960/60000 (68%)]	Loss: 0.085633
Train Epoch: 2 [41600/60000 (69%)]	Loss: 0.024355
Train Epoch: 2 [42240/60000 (70%)]	Loss: 0.084324
Train Epoch: 2 [42880/60000 (71%)]	Loss: 0.147352
Train Epoch: 2 [43520/60000 (72%)]	Loss: 0.020297
Train Epoch: 2 [44160/60000 (74%)]	Loss: 0.003081
Train Epoch: 2 [44800/60000 (75%)]	Loss: 0.077525
Train Epoch: 2 [45440/60000 (76%)]	Loss: 0.001531
Train Epoch: 2 [46080/60000 (77%)]	Loss: 0.053105
Train Epoch: 2 [46720/60000 (78%)]	Loss: 0.116060
Train Epoch: 2 [47360/60000 (79%)]	Loss: 0.054633
Train Epoch: 2 [48000/60000 (80%)]	Loss: 0.037501
Train Epoch: 2 [48640/60000 (81%)]	Loss: 0.004589
Train Epoch: 2 [49280/60000 (82%)]	Loss: 0.021125
Train Epoch: 2 [49920/60000 (83%)]	Loss: 0.160823
Train Epoch: 2 [50560/60000 (84%)]	Loss: 0.110800
Train Epoch: 2 [51200/60000 (85%)]	Loss: 0.012298
Train Epoch: 2 [51840/60000 (86%)]	Loss: 0.110147
Train Epoch: 2 [52480/60000 (87%)]	Loss: 0.037159
Train Epoch: 2 [53120/60000 (88%)]	Loss: 0.027139
Train Epoch: 2 [53760/60000 (90%)]	Loss: 0.049836
Train Epoch: 2 [54400/60000 (91%)]	Loss: 0.046529
Train Epoch: 2 [55040/60000 (92%)]	Loss: 0.006813
Train Epoch: 2 [55680/60000 (93%)]	Loss: 0.038795
Train Epoch: 2 [56320/60000 (94%)]	Loss: 0.063260
Train Epoch: 2 [56960/60000 (95%)]	Loss: 0.188531
Train Epoch: 2 [57600/60000 (96%)]	Loss: 0.020589
Train Epoch: 2 [58240/60000 (97%)]	Loss: 0.024636
Train Epoch: 2 [58880/60000 (98%)]	Loss: 0.042154
Train Epoch: 2 [59520/60000 (99%)]	Loss: 0.161434

Test set: Average loss: 0.0001, Accuracy: 9758/10000 (98%)

[2021-11-05 15:08:17] INFO (nni/MainThread) Intermediate result: null  (Index 1)
Train Epoch: 3 [0/60000 (0%)]	Loss: 0.076819
Train Epoch: 3 [640/60000 (1%)]	Loss: 0.032278
Train Epoch: 3 [1280/60000 (2%)]	Loss: 0.013893
Train Epoch: 3 [1920/60000 (3%)]	Loss: 0.004601
Train Epoch: 3 [2560/60000 (4%)]	Loss: 0.045280
Train Epoch: 3 [3200/60000 (5%)]	Loss: 0.045701
Train Epoch: 3 [3840/60000 (6%)]	Loss: 0.002655
Train Epoch: 3 [4480/60000 (7%)]	Loss: 0.002846
Train Epoch: 3 [5120/60000 (9%)]	Loss: 0.016095
Train Epoch: 3 [5760/60000 (10%)]	Loss: 0.015325
Train Epoch: 3 [6400/60000 (11%)]	Loss: 0.139877
Train Epoch: 3 [7040/60000 (12%)]	Loss: 0.031193
Train Epoch: 3 [7680/60000 (13%)]	Loss: 0.280660
Train Epoch: 3 [8320/60000 (14%)]	Loss: 0.061457
Train Epoch: 3 [8960/60000 (15%)]	Loss: 0.004435
Train Epoch: 3 [9600/60000 (16%)]	Loss: 0.010107
Train Epoch: 3 [10240/60000 (17%)]	Loss: 0.008798
Train Epoch: 3 [10880/60000 (18%)]	Loss: 0.026287
Train Epoch: 3 [11520/60000 (19%)]	Loss: 0.026259
Train Epoch: 3 [12160/60000 (20%)]	Loss: 0.043779
Train Epoch: 3 [12800/60000 (21%)]	Loss: 0.172103
Train Epoch: 3 [13440/60000 (22%)]	Loss: 0.002076
Train Epoch: 3 [14080/60000 (23%)]	Loss: 0.011853
Train Epoch: 3 [14720/60000 (25%)]	Loss: 0.005660
Train Epoch: 3 [15360/60000 (26%)]	Loss: 0.036380
Train Epoch: 3 [16000/60000 (27%)]	Loss: 0.001641
Train Epoch: 3 [16640/60000 (28%)]	Loss: 0.007608
Train Epoch: 3 [17280/60000 (29%)]	Loss: 0.023109
